Item Id,Item Name,Price,Sales,Shop Name,Commission Rate,Commission,Product Link,Offer Link
58205413442,Kit Corporal Nativa Spa com 3 Hidratantes de 400ml,"27,99",58,Aklog store,3%,"R$0,84",https://shopee.com.br/product/383740485/58205413442,https://s.shopee.com.br/5VSQEWxJvN
20899598197,Tênis Infantil Calce Facil Masculino Bevolo Calçados.,19,30mil+,Bevolo Calçados,8%,"R$1,52",https://shopee.com.br/product/676684389/20899598197,https://s.shopee.com.br/5flqQpwgaQ
22297378465,Kit 12 Pares de Meia Cano Alto,"10,99",8mil+,SENHOR SHOPPING,23%,"R$2,53",https://shopee.com.br/product/1013333026/22297378465,https://s.shopee.com.br/5q5Gd8w3FT
23298100712,Protetor De Sapato Impermeável De Silicone Capa de Chuva Para Tênis Colorido e Unisex Joven e Adulto,"11,9",50mil+,jvch21my_o,11%,"R$1,31",https://shopee.com.br/product/1097148583/23298100712,https://s.shopee.com.br/60OgpRvPuW
58209798552,Moletom Canguru Masculino Estampa Capivara Milk Fofa Tumblr Com Capuz Casaco Blusa de Frio Premium,"99,99",0,Peça essencial,3%,"R$3,00",https://shopee.com.br/product/1077144780/58209798552,https://s.shopee.com.br/6Ai71kumZZ
22394250261,"Calça Feminina TACTEL COM ELASTANO PREMIUM jogger / ideal para academia,yoga, casual e esportiva","36,49",10mil+,Brudna Shop,3%,"R$1,09",https://shopee.com.br/product/1587235748/22394250261,https://s.shopee.com.br/6L1XE3u9Ec
22392924019,KIS 2 Meia Cano Curto Peluciada Feminina Juvenil E Adulto Unixes,"9,99",3mil+,L # Y MODAS ATACADO,12%,"R$1,20",https://shopee.com.br/product/437985893/22392924019,https://s.shopee.com.br/6VKxQMtVtf
42727283804,Óleo Capilar Superpoderoso Cresce E Acontece 7Ml,"10,9",10mil+,Forever Liss,18%,"R$1,96",https://shopee.com.br/product/427106553/42727283804,https://s.shopee.com.br/40dcRm31yC
58204987358,NOVA Luva motoqueiro inverno Frio Touch Screen  Motociclista Cano longo Adequado Para Moto,"8,2",3mil+,PARIS04,3%,"R$0,25",https://shopee.com.br/product/1719334016/58204987358,https://s.shopee.com.br/4Ax2e52OdF
22594546423,"Cola adesiva forte para sapatos - para reparação de calçado, soluções de reparação duradouras para solas","14,97",20mil+,QualiModa,14%,"R$2,10",https://shopee.com.br/product/1566452692/22594546423,https://s.shopee.com.br/4LGSqO1lII
18799319252,Kit 3/6 pares de meia/meias soquete térmica grossa flanelada fleece inverno frio intenso Luca,"19,99",10mil+,LUCA FASHION,3%,"R$0,60",https://shopee.com.br/product/1255854196/18799319252,https://s.shopee.com.br/4VZt2h17xL
58253492412,Blusa Manga Longa Feminina moda fitness modeladora  yoga casaco academia proteção,"44,47",2mil+,Casa Sinatra,3%,"R$1,33",https://shopee.com.br/product/1553079968/58253492412,https://s.shopee.com.br/4ftJF00UcO
21999234823,Kit 2 Spray Capilar Banho Brilhante Efeito Gloss Sela a Cutícula 200ml CADA,"19,9",4mil+,Realce Beaute,10%,"R$1,99",https://shopee.com.br/product/321104773/21999234823,https://s.shopee.com.br/4qCjRIzrHR
23994206734,Jaqueta Masculina Casaco Lã Blusa De Frio Inverno Tricô Com Bolsos,"69,23",4mil+,ALFA_TRICOT,3%,"R$2,08",https://shopee.com.br/product/1567174664/23994206734,https://s.shopee.com.br/50W9dbzDwU
21298731450,KIT DE MEIA FEMININA BRANCA FOFO COM TEXTURA ALGODAO POLIESTER 35-40 IDEAL PARA PRESENTE E USO,"14,99",30mil+,UYF Meias,3%,"R$0,45",https://shopee.com.br/product/390229041/21298731450,https://s.shopee.com.br/5ApZpuyabX
20899597332,Kit Pares de Meias Infantil Masculino Bebê Menino Antiderrapante com Estampas Divertidas,"16,99",30mil+,Xavier Modas e Acessórios,8%,"R$1,36",https://shopee.com.br/product/423397470/20899597332,https://s.shopee.com.br/2g8ErK86g4
